LÔ-MÁ-JĪ,HÀN-JĪ,IA̍H-SÒ͘
Ing-jiau2-tho5,鶯爪桃,190
Kue-jiau2-lan5,鷄爪蘭,190
Phang-hue,香花,190
Tshau3-sai2-lam5,臭屎楠,191
Sue3-hioh8-lam5,細葉楠,191
Ng5-bah-tshiu7,黃肉樹,191
Thih-sai2-lam5,鐵屎楠,191
Bok8-ni2-tsuiu7,木耳樹,191
Kue-bai5,鷄眉,191
Loh8-khak-tsan,落殼櫕,191
Kiu2-kiong-ku7,九芎舅,191
Huan-a2-uan,蕃仔灣,191
Bo5-kun-tshau2,無根草,191
Tsiunn,樟,192
Pun2-tsiunn,本樟,192
Tshau3-tsiunn,臭樟,192
Suann-tshau3-tsiunn,山臭樟,192
Suann-tsiau2-tsiunn,山鳥樟,192
Tsiau2-tsiunn,鳥樟,192
Suann-tsiau2-tsiunn,山鳥樟,192
Thoo2-jiok8-kui3,土肉桂,192
Tsiunn-gu5,樟牛,192
Gu5-tsiunn,牛樟,192
Phann3-tsiunn,冇樟,193
Jiok8-kui3,肉桂,193
Kui3-ki,桂枝,193
A-li2-sim,阿里參,193
Hiunn-kui3,香桂,193
Suann-jiok8-kui3,山肉桂,193
Hiunn-kui3,香桂,193
Thoo2-tsiunn,土樟,193
Kau-khak-kui3,厚殼桂,193
Phang-kui3,攀桂,193
Phann3-kui3,冇桂,193
Thoo2-lam5,土楠,193
Ng5-bah-tshiu7,黃肉樹,193
Tshau3-tsiunn,臭樟,193
Lai7-tang-tsi2,內冬子,194
Suann-ho-tsio,山胡椒,194
Tua7-hioh8-lam5,大葉楠,195
Lam5-a2,楠仔,195
Hiunn-lam5,香楠,195
Tshau3-sai2-lam5,臭屎楠,195
Sue3-hioh8-lam5,細葉楠,195
Ti-kha-lam5,猪脚楠,195
Lam5-a2,楠仔,195
Lam5-a2,楠仔,196
Lai5-tang-tsi2-lam5,內冬子楠,196
He2-thuann3-lam5-a2,火炭楠仔,196
Lai7-thuann3-tsi2-lam5,內炭子楠,196
Iu5-hioh8-lam5,油葉楠,196
Hiunn-kui3,香桂,196
Tik-hioh8-lam5,竹葉楠,197
Goo7-tsiunn2-lam5-a2,五掌楠仔,197
Goo7-hioh8-lam5-a2,五葉楠仔,197
Oo-hun-hue,烏煙花,198
Suann-kam-a2,山柑仔,198
O5-khak-a2,蠔殼仔,199
Suann-kam-a2,山柑仔,199
Gu5-kak-uai,牛角歪,199
Sann-kha-tiau7,三脚掉,199
Sann-kha-phi5,三脚皮,199
Sann-kha-piat8,三脚別,199
Sann-kha-pih,三脚鼈,199
Peh8-hue-a2-tshai3,白花仔菜,199
Hiong3-thian-hong5,向天黃,199
Inn5-tshai3-thau5,圓菜頭,200
Kua3-tshai3,芥菜,200
Tua7-tshai3,大菜,200
Ko-le5-tshai3,高麗菜,201
Tshai3-hue,菜花,201
Peh8-tshai3,白菜,201
Kng2-sim-peh8-tshai3,卷心白菜,201
Peh8-kut-suann-kuah-tshau3,白骨山葛草,202
Suann-kua3-tshai3,山芥菜,202
Tshai3-thau5,菜頭,202
Lai5-hok8,萊菔,202
To3-tiau3-lian5,倒€蓮,204
Tshinn-to-tshau2,生刀草,204
Tshinn-to-ioh8,生刀藥,204
Kha-bak-tshau2,脚目草,204
Kha-bu2-tshau2,脚母草,204
Tua7-huan-hun5,大翻魂、大番魂,204
To3-tiau3-lian5,倒€蓮,204
Peh8-poo-kiunn,白埔姜,207
Siong5-san,常山,207
Siong5-san,常山,207
Siong5-san-tshiu7,常山樹,207
Siong5-san-ni5,常山尼,207
Suann-kua3-tshai3,山芥菜,208
Hoo5-hi7-tshau2,虎耳草,209
Kim-hi7-tshau2,錦耳草,209
Tshit-li2-hiong,七里香,209
Png-a2,楓仔,210
Phng-siu7,楓樹,210
He7-be5,夏粥,211
Suann-gi5-pe5,山枇杷,211
Gi5-pe5,枇杷,211
Tsua5-po5,蛇婆,211
Ling5-thoo3-tsu,龍吐珠,211
Tsua5-pho,蛇波,211
Hai2-tong5,海棠,212
Suann-siann-tsa,山仙查,212
Siap-lai5,澁梨,212
He5-be2,蝦尾,213
Suann-gu5-lin,山牛乳,213
Suann-eng-tho5,山櫻桃,213
